Date,Rainfall amount (millimetres)
05/11/00,0
05/12/00,0
05/13/00,0.6
05/14/00,0
05/15/00,0
05/16/00,0.4
05/17/00,0.6
05/18/00,0
05/19/00,0
05/20/00,0
05/21/00,0
05/22/00,0
05/23/00,0
05/24/00,0
05/25/00,0
05/26/00,0
05/27/00,6.2
05/28/00,5
05/29/00,2
05/30/00,26.4
05/31/00,18
06/01/00,4.6
06/02/00,3.8
06/03/00,0
06/04/00,0.4
06/05/00,5.6
06/06/00,16.6
06/07/00,3.2
06/08/00,0
06/09/00,0
06/10/00,0.6
06/11/00,0.2
06/12/00,0
06/13/00,0
06/14/00,0
06/15/00,0
06/16/00,0
06/17/00,0
06/18/00,0
06/19/00,0
06/20/00,0
06/21/00,0.4
06/22/00,0.6
06/23/00,5.4
06/24/00,0
06/25/00,0
06/26/00,0
06/27/00,0
06/28/00,0
06/29/00,0.4
06/30/00,0.2
07/01/00,1
07/02/00,0
07/03/00,0
07/04/00,0
07/05/00,0
07/06/00,3.4
07/07/00,0
07/08/00,0
07/09/00,0
07/10/00,0.4
07/11/00,0.2
07/12/00,0
07/13/00,1.4
07/14/00,0.4
07/15/00,0.4
07/16/00,0
07/17/00,0
07/18/00,0
07/19/00,9.6
07/20/00,7
07/21/00,0
07/22/00,0
07/23/00,0
07/24/00,0
07/25/00,0.8
07/26/00,10.4
07/27/00,9
07/28/00,2.8
07/29/00,0
07/30/00,0
07/31/00,0
08/01/00,0
08/02/00,0
08/03/00,0
08/04/00,0
08/05/00,0
08/06/00,0
08/07/00,0
08/08/00,0
08/09/00,16.8
08/10/00,2
08/11/00,0
08/12/00,0.2
08/13/00,0
08/14/00,0
08/15/00,1.6
08/16/00,9.4
08/17/00,0
08/18/00,0
08/19/00,0
08/20/00,0
08/21/00,0
08/22/00,0.8
08/23/00,0
08/24/00,0
08/25/00,4
08/26/00,1.2
08/27/00,0
08/28/00,2
08/29/00,2
08/30/00,4.2
08/31/00,5
09/01/00,0
09/02/00,3.8
09/03/00,6
09/04/00,0
09/05/00,1.6
09/06/00,0.2
09/07/00,0.4
09/08/00,9.2
09/09/00,6.6
09/10/00,2.2
09/11/00,6
09/12/00,0.6
09/13/00,0
09/14/00,0
09/15/00,3.2
09/16/00,0
09/17/00,0
09/18/00,0
09/19/00,0
09/20/00,4.2
09/21/00,0
09/22/00,0
09/23/00,0
09/24/00,0
09/25/00,5.6
09/26/00,24.2
09/27/00,7.4
09/28/00,0
09/29/00,0.4
09/30/00,0
10/01/00,3.4
10/02/00,1.2
10/03/00,0
10/04/00,0
10/05/00,0
10/06/00,0
10/07/00,0.2
10/08/00,1.6
10/09/00,0.2
10/10/00,0
10/11/00,3.2
10/12/00,0
10/13/00,0
10/14/00,0
10/15/00,6.6
10/16/00,0.8
10/17/00,0.4
10/18/00,0
10/19/00,3.4
10/20/00,7.8
10/21/00,0.2
10/22/00,0
10/23/00,0
10/24/00,32.2
10/25/00,38.4
10/26/00,2.6
10/27/00,0.2
10/28/00,2.6
10/29/00,0.8
10/30/00,0
10/31/00,0
11/01/00,0
11/02/00,14.8
11/03/00,2
11/04/00,0
11/05/00,0
11/06/00,0.2
11/07/00,0
11/08/00,0
11/09/00,0
11/10/00,0.8
11/11/00,8.4
11/12/00,4.2
11/13/00,0
11/14/00,0
11/15/00,0
11/16/00,0.8
11/17/00,1.4
11/18/00,0
11/19/00,0
11/20/00,0
11/21/00,1
11/22/00,0
11/23/00,0
11/24/00,0
11/25/00,0
11/26/00,0
11/27/00,0
11/28/00,0
11/29/00,1.2
11/30/00,0
12/01/00,3
12/02/00,0
12/03/00,0
12/04/00,0.2
12/05/00,0
12/06/00,0
12/07/00,0
12/08/00,0
12/09/00,0
12/10/00,0
12/11/00,0.6
12/12/00,0
12/13/00,0
12/14/00,0
12/15/00,0
12/16/00,0
12/17/00,0
12/18/00,0
12/19/00,0
12/20/00,0
12/21/00,0
12/22/00,6
12/23/00,23.2
12/24/00,0
12/25/00,0
12/26/00,0
12/27/00,0
12/28/00,1.2
12/29/00,0.4
12/30/00,0
12/31/00,0
01/01/01,0
01/02/01,0
01/03/01,0.2
01/04/01,0
01/05/01,0.8
01/06/01,0
01/07/01,0
01/08/01,0
01/09/01,0
01/10/01,0
01/11/01,0
01/12/01,0
01/13/01,0
01/14/01,0
01/15/01,0
01/16/01,0
01/17/01,0
01/18/01,1.8
01/19/01,0
01/20/01,0
01/21/01,0
01/22/01,0
01/23/01,0.2
01/24/01,0.2
01/25/01,7.8
01/26/01,0
01/27/01,0.8
01/28/01,0
01/29/01,0
01/30/01,0
01/31/01,0
02/01/01,0
02/02/01,0
02/03/01,0
02/04/01,0
02/05/01,1.8
02/06/01,0
02/07/01,0
02/08/01,0
02/09/01,0
02/10/01,0.6
02/11/01,0
02/12/01,0
02/13/01,5.4
02/14/01,0
02/15/01,3
02/16/01,0.8
02/17/01,0
02/18/01,0
02/19/01,0
02/20/01,0
02/21/01,0
02/22/01,0
02/23/01,0
02/24/01,0
02/25/01,0
02/26/01,0
02/27/01,0
02/28/01,0
03/01/01,0
03/02/01,0
03/03/01,0
03/04/01,0
03/05/01,0
03/06/01,0
03/07/01,0
03/08/01,0
03/09/01,0
03/10/01,0
03/11/01,0.6
03/12/01,0
03/13/01,0
03/14/01,0
03/15/01,0
03/16/01,0
03/17/01,12.4
03/18/01,4.4
03/19/01,2.8
03/20/01,0
03/21/01,11.2
03/22/01,5
03/23/01,46
03/24/01,0
03/25/01,2.8
03/26/01,0
03/27/01,0.2
03/28/01,1.2
03/29/01,0
03/30/01,0
03/31/01,0
04/01/01,0
04/02/01,0.2
04/03/01,0
04/04/01,0
04/05/01,0
04/06/01,0
04/07/01,0
04/08/01,0
04/09/01,4
04/10/01,2.8
04/11/01,0.2
04/12/01,2.2
04/13/01,0
04/14/01,0
04/15/01,0
04/16/01,0
04/17/01,0
04/18/01,0
04/19/01,1
04/20/01,0
04/21/01,0
04/22/01,29.2
04/23/01,30
04/24/01,39.2
04/25/01,10.8
04/26/01,0
04/27/01,0
04/28/01,5.8
04/29/01,0.2
04/30/01,0
05/01/01,0
05/02/01,0
05/03/01,0
05/04/01,0
05/05/01,0
05/06/01,0
05/07/01,0
05/08/01,0
05/09/01,0
05/10/01,0.2
05/11/01,0
05/12/01,0
05/13/01,0
05/14/01,0
05/15/01,0
05/16/01,0
05/17/01,0.6
05/18/01,1.4
05/19/01,0
05/20/01,0
05/21/01,0.8
05/22/01,2.8
05/23/01,0
05/24/01,0.6
05/25/01,0
05/26/01,1.2
05/27/01,0
05/28/01,1.6
05/29/01,1.2
05/30/01,3.6
05/31/01,0.6
06/01/01,0
06/02/01,0
06/03/01,0
06/04/01,0.2
06/05/01,0
06/06/01,2.6
06/07/01,0.2
06/08/01,0
06/09/01,7.6
06/10/01,1.4
06/11/01,0
06/12/01,0
06/13/01,3
06/14/01,2.8
06/15/01,11.6
06/16/01,6.8
06/17/01,0.8
06/18/01,0.6
06/19/01,0
06/20/01,0
06/21/01,17.2
06/22/01,1.6
06/23/01,0
06/24/01,0
06/25/01,0
06/26/01,3.4
06/27/01,0
06/28/01,0
06/29/01,0
06/30/01,0
07/01/01,0
07/02/01,0
07/03/01,0
07/04/01,0
07/05/01,0
07/06/01,0.8
07/07/01,0.2
07/08/01,1.8
07/09/01,0.2
07/10/01,0
07/11/01,0
07/12/01,3.8
07/13/01,0.8
07/14/01,0.4
07/15/01,0.2
07/16/01,0.4
07/17/01,0.2
07/18/01,0.2
07/19/01,1.6
07/20/01,0.6
07/21/01,0
07/22/01,0
07/23/01,0
07/24/01,0
07/25/01,0
07/26/01,0.2
07/27/01,0
07/28/01,0.8
07/29/01,0.2
07/30/01,0
07/31/01,0
08/01/01,6.6
08/02/01,1.4
08/03/01,0
08/04/01,0
08/05/01,1.6
08/06/01,0.6
08/07/01,0.2
08/08/01,0.6
08/09/01,0.2
08/10/01,0
08/11/01,0
08/12/01,0
08/13/01,0
08/14/01,0
08/15/01,0
08/16/01,0
08/17/01,4.4
08/18/01,4.8
08/19/01,0
08/20/01,7.4
08/21/01,0.6
08/22/01,10.8
08/23/01,3.2
08/24/01,0.2
08/25/01,0
08/26/01,1.2
08/27/01,1.8
08/28/01,3.4
08/29/01,0
08/30/01,0
08/31/01,0
09/01/01,0.2
09/02/01,3.4
09/03/01,0
09/04/01,4.4
09/05/01,2.6
09/06/01,0
09/07/01,0
09/08/01,0.4
09/09/01,5.8
09/10/01,0
09/11/01,0
09/12/01,0
09/13/01,0
09/14/01,0
09/15/01,0
09/16/01,0
09/17/01,0
09/18/01,0
09/19/01,0
09/20/01,0
09/21/01,0
09/22/01,0
09/23/01,2.2
09/24/01,0
09/25/01,15.8
09/26/01,4.6
09/27/01,0
09/28/01,0
09/29/01,0
09/30/01,0
10/01/01,9.8
10/02/01,0
10/03/01,1.2
10/04/01,8.6
10/05/01,0.2
10/06/01,3.8
10/07/01,3
10/08/01,0.2
10/09/01,0
10/10/01,0
10/11/01,0
10/12/01,4.2
10/13/01,0.6
10/14/01,9.6
10/15/01,0
10/16/01,3.6
10/17/01,0
10/18/01,4.2
10/19/01,0.2
10/20/01,0.8
10/21/01,0
10/22/01,0
10/23/01,0
10/24/01,3.4
10/25/01,0
10/26/01,1.4
10/27/01,8.2
10/28/01,1.2
10/29/01,0
10/30/01,1.2
10/31/01,4.8
11/01/01,0.2
11/02/01,0
11/03/01,0
11/04/01,0
11/05/01,0
11/06/01,7
11/07/01,3.2
11/08/01,1.4
11/09/01,0.2
11/10/01,0
11/11/01,4.4
11/12/01,22
11/13/01,14.4
11/14/01,0
11/15/01,0
11/16/01,0
11/17/01,0
11/18/01,7.2
11/19/01,5
11/20/01,0
11/21/01,0
11/22/01,0
11/23/01,0
11/24/01,4.8
11/25/01,1.8
11/26/01,0.4
11/27/01,2.2
11/28/01,0
11/29/01,0
11/30/01,0.6
12/01/01,0.6
12/02/01,0
12/03/01,7.6
12/04/01,0.2
12/05/01,0
12/06/01,0
12/07/01,13.4
12/08/01,1.2
12/09/01,0
12/10/01,0
12/11/01,0.6
12/12/01,3.4
12/13/01,2
12/14/01,0
12/15/01,0
12/16/01,0
12/17/01,0
12/18/01,0
12/19/01,0
12/20/01,0
12/21/01,0
12/22/01,0
12/23/01,0
12/24/01,1.2
12/25/01,0
12/26/01,1.2
12/27/01,15.4
12/28/01,2.6
12/29/01,0
12/30/01,0
12/31/01,0
01/01/02,1.8
01/02/02,8.8
01/03/02,0.4
01/04/02,0
01/05/02,0
01/06/02,0
01/07/02,1.4
01/08/02,0
01/09/02,0
01/10/02,0
01/11/02,0
01/12/02,0
01/13/02,0.4
01/14/02,0.4
01/15/02,0
01/16/02,0
01/17/02,0
01/18/02,0
01/19/02,0
01/20/02,0
01/21/02,0.2
01/22/02,13
01/23/02,3.4
01/24/02,0
01/25/02,0
01/26/02,2
01/27/02,1
01/28/02,2.4
01/29/02,2.2
01/30/02,0.8
01/31/02,0
02/01/02,0
02/02/02,19.6
02/03/02,0.6
02/04/02,0
02/05/02,0
02/06/02,0
02/07/02,0
02/08/02,18.6
02/09/02,1
02/10/02,2.6
02/11/02,1.2
02/12/02,0
02/13/02,0
02/14/02,0
02/15/02,0
02/16/02,5.8
02/17/02,0
02/18/02,0
02/19/02,0
02/20/02,0
02/21/02,11.4
02/22/02,0
02/23/02,0
02/24/02,0
02/25/02,0
02/26/02,7.2
02/27/02,0
02/28/02,0
03/01/02,0
03/02/02,0
03/03/02,2.6
03/04/02,0.4
03/05/02,0
03/06/02,0
03/07/02,0.4
03/08/02,0
03/09/02,0
03/10/02,0
03/11/02,0
03/12/02,0.8
03/13/02,0
03/14/02,0
03/15/02,0
03/16/02,0
03/17/02,0
03/18/02,0
03/19/02,0
03/20/02,0
03/21/02,3.4
03/22/02,0.4
03/23/02,0
03/24/02,0
03/25/02,1
03/26/02,2.2
03/27/02,7.8
03/28/02,1.2
03/29/02,0.4
03/30/02,0.4
03/31/02,0
04/01/02,0
04/02/02,0
04/03/02,0
04/04/02,4.2
04/05/02,0
04/06/02,0
04/07/02,0
04/08/02,0
04/09/02,0
04/10/02,2.2
04/11/02,0
04/12/02,0
04/13/02,15.6
04/14/02,0.8
04/15/02,0
04/16/02,1.4
04/17/02,0
04/18/02,0
04/19/02,0
04/20/02,1.2
04/21/02,0.2
04/22/02,0
04/23/02,0
04/24/02,0.4
04/25/02,6.8
04/26/02,6.4
04/27/02,0.2
04/28/02,0
04/29/02,0
04/30/02,0
05/01/02,0
05/02/02,0
05/03/02,0
05/04/02,0
05/05/02,0
05/06/02,0.2
05/07/02,0
05/08/02,0
05/09/02,0
05/10/02,3.2
05/11/02,0
05/12/02,0
05/13/02,0.8
05/14/02,0
05/15/02,0
05/16/02,2.8
05/17/02,2
05/18/02,0
05/19/02,2
05/20/02,9.6
05/21/02,10.6
05/22/02,5.4
05/23/02,0.2
05/24/02,0
05/25/02,0
05/26/02,0
05/27/02,0
05/28/02,0
05/29/02,0
05/30/02,0
05/31/02,0
06/01/02,4.4
06/02/02,0
06/03/02,0
06/04/02,0
06/05/02,0
06/06/02,0
06/07/02,0
06/08/02,0
06/09/02,0
06/10/02,0
06/11/02,0
06/12/02,0
06/13/02,3.6
06/14/02,0.6
06/15/02,1.8
06/16/02,0.8
06/17/02,0
06/18/02,0
06/19/02,0
06/20/02,0
06/21/02,0.2
06/22/02,0
06/23/02,0
06/24/02,0
06/25/02,0
06/26/02,0.6
06/27/02,0
06/28/02,7.4
06/29/02,6.8
06/30/02,1
07/01/02,0
07/02/02,0
07/03/02,2.2
07/04/02,4.6
07/05/02,1.8
07/06/02,0
07/07/02,0.2
07/08/02,0
07/09/02,0
07/10/02,0.4
07/11/02,0
07/12/02,0
07/13/02,0
07/14/02,0.8
07/15/02,0
07/16/02,0
07/17/02,2
07/18/02,0.2
07/19/02,0
07/20/02,0.2
07/21/02,1.4
07/22/02,0
07/23/02,0.8
07/24/02,4.6
07/25/02,0
07/26/02,0
07/27/02,0
07/28/02,0
07/29/02,0.4
07/30/02,0
07/31/02,0
08/01/02,0
08/02/02,4.6
08/03/02,3.2
08/04/02,1.8
08/05/02,0
08/06/02,0.4
08/07/02,0.8
08/08/02,0.2
08/09/02,0
08/10/02,0
08/11/02,0
08/12/02,2
08/13/02,3.6
08/14/02,15.8
08/15/02,0
08/16/02,0
08/17/02,0
08/18/02,0
08/19/02,0
08/20/02,0
08/21/02,0
08/22/02,0
08/23/02,0.2
08/24/02,0
08/25/02,0
08/26/02,0
08/27/02,0
08/28/02,0
08/29/02,2.4
08/30/02,0
08/31/02,0.6
09/01/02,0
09/02/02,0
09/03/02,0
09/04/02,2.4
09/05/02,0
09/06/02,0
09/07/02,0.6
09/08/02,3.4
09/09/02,2.8
09/10/02,0
09/11/02,2.4
09/12/02,0
09/13/02,0
09/14/02,0
09/15/02,0
09/16/02,0.4
09/17/02,14.2
09/18/02,0
09/19/02,2.2
09/20/02,1.4
09/21/02,0
09/22/02,0
09/23/02,0
09/24/02,0
09/25/02,0
09/26/02,0
09/27/02,0
09/28/02,0.4
09/29/02,9
09/30/02,0
10/01/02,0
10/02/02,0
10/03/02,0
10/04/02,2.2
10/05/02,4.6
10/06/02,0
10/07/02,0
10/08/02,3
10/09/02,1.2
10/10/02,0
10/11/02,0
10/12/02,0
10/13/02,2.8
10/14/02,1.2
10/15/02,0.6
10/16/02,0.2
10/17/02,0
10/18/02,0
10/19/02,0
10/20/02,0
10/21/02,0
10/22/02,0
10/23/02,6.4
10/24/02,7.4
10/25/02,2.6
10/26/02,0
10/27/02,0.8
10/28/02,1.2
10/29/02,0
10/30/02,0
10/31/02,0
11/01/02,0
11/02/02,0
11/03/02,1.2
11/04/02,1
11/05/02,1.4
11/06/02,0
11/07/02,0
11/08/02,0
11/09/02,0
11/10/02,0
11/11/02,0
11/12/02,0
11/13/02,0
11/14/02,0
11/15/02,0
11/16/02,0
11/17/02,0
11/18/02,0
11/19/02,0
11/20/02,0.6
11/21/02,0
11/22/02,0
11/23/02,0
11/24/02,0
11/25/02,0.2
11/26/02,7.2
11/27/02,12
11/28/02,0
11/29/02,0
11/30/02,1.8
12/01/02,0
12/02/02,0
12/03/02,0
12/04/02,0
12/05/02,4.6
12/06/02,4.6
12/07/02,0.6
12/08/02,0
12/09/02,0.6
12/10/02,0
12/11/02,0
12/12/02,0
12/13/02,0
12/14/02,0
12/15/02,0
12/16/02,0
12/17/02,0
12/18/02,0
12/19/02,0
12/20/02,0
12/21/02,0
12/22/02,0
12/23/02,0
12/24/02,0
12/25/02,0.4
12/26/02,0
12/27/02,0
12/28/02,0
12/29/02,0
12/30/02,1
12/31/02,0.2
01/01/03,5.4
01/02/03,0.6
01/03/03,0
01/04/03,0
01/05/03,0
01/06/03,0
01/07/03,0
01/08/03,0.2
01/09/03,0
01/10/03,0
01/11/03,0
01/12/03,0
01/13/03,0
01/14/03,0
01/15/03,0
01/16/03,0
01/17/03,0
01/18/03,0
01/19/03,0
01/20/03,0
01/21/03,0
01/22/03,0
01/23/03,0
01/24/03,0
01/25/03,0
01/26/03,0
01/27/03,0.8
01/28/03,0
01/29/03,0
01/30/03,0
01/31/03,3.6
02/01/03,0
02/02/03,0
02/03/03,0
02/04/03,0
02/05/03,0
02/06/03,1.8
02/07/03,0.6
02/08/03,0
02/09/03,0
02/10/03,0
02/11/03,0
02/12/03,0
02/13/03,0
02/14/03,0
02/15/03,0
02/16/03,1.4
02/17/03,0
02/18/03,0
02/19/03,0
02/20/03,0
02/21/03,8.2
02/22/03,7.8
02/23/03,0
02/24/03,0
02/25/03,0
02/26/03,0
02/27/03,0
02/28/03,0.2
03/01/03,1.2
03/02/03,5.2
03/03/03,0.2
03/04/03,0
03/05/03,4
03/06/03,0
03/07/03,0
03/08/03,1
03/09/03,0.2
03/10/03,1.8
03/11/03,0
03/12/03,0
03/13/03,0
03/14/03,0
03/15/03,0
03/16/03,0
03/17/03,0
03/18/03,0
03/19/03,0
03/20/03,3.6
03/21/03,1.2
03/22/03,3.6
03/23/03,0.6
03/24/03,0
03/25/03,0
03/26/03,0
03/27/03,0
03/28/03,0
03/29/03,0
03/30/03,0
03/31/03,0
04/01/03,0
04/02/03,1.6
04/03/03,0.6
04/04/03,0
04/05/03,0
04/06/03,0
04/07/03,0
04/08/03,4.6
04/09/03,1
04/10/03,0
04/11/03,13.8
04/12/03,14.8
04/13/03,0
04/14/03,17.8
04/15/03,0
04/16/03,9.6
04/17/03,0
04/18/03,0
04/19/03,0
04/20/03,0
04/21/03,0
04/22/03,0
04/23/03,0
04/24/03,0.4
04/25/03,0.4
04/26/03,0
04/27/03,0
04/28/03,8.6
04/29/03,0
04/30/03,0
05/01/03,0.6
05/02/03,0
05/03/03,0
05/04/03,0.6
05/05/03,0
05/06/03,0
05/07/03,0
05/08/03,0
05/09/03,1.4
05/10/03,0.8
05/11/03,0
05/12/03,0
05/13/03,0
05/14/03,0
05/15/03,2.8
05/16/03,1.4
05/17/03,0
05/18/03,3.6
05/19/03,2.8
05/20/03,3.2
05/21/03,6.4
05/22/03,0
05/23/03,0
05/24/03,0
05/25/03,0
05/26/03,0
05/27/03,0
05/28/03,0
05/29/03,0
05/30/03,0
05/31/03,0
06/01/03,1.6
06/02/03,0.6
06/03/03,0
06/04/03,0
06/05/03,0
06/06/03,0
06/07/03,4.6
06/08/03,0
06/09/03,0.2
06/10/03,0
06/11/03,0
06/12/03,0
06/13/03,0
06/14/03,2.4
06/15/03,0.2
06/16/03,1.6
06/17/03,0.8
06/18/03,0
06/19/03,2.2
06/20/03,1.4
06/21/03,0
06/22/03,1
06/23/03,0.4
06/24/03,1.4
06/25/03,0
06/26/03,0
06/27/03,0
06/28/03,4
06/29/03,6.6
06/30/03,6.2
07/01/03,0.8
07/02/03,0
07/03/03,0
07/04/03,0
07/05/03,0
07/06/03,0
07/07/03,0
07/08/03,0.8
07/09/03,0
07/10/03,0
07/11/03,0
07/12/03,0
07/13/03,0
07/14/03,0.2
07/15/03,0
07/16/03,8.8
07/17/03,0
07/18/03,0
07/19/03,0
07/20/03,0
07/21/03,0
07/22/03,1.2
07/23/03,0.6
07/24/03,24.8
07/25/03,3.8
07/26/03,3.6
07/27/03,0.6
07/28/03,0
07/29/03,10.6
07/30/03,7.8
07/31/03,4.4
08/01/03,0
08/02/03,0
08/03/03,0
08/04/03,0
08/05/03,0
08/06/03,0.2
08/07/03,0.2
08/08/03,0
08/09/03,5.8
08/10/03,0
08/11/03,0
08/12/03,0
08/13/03,8.2
08/14/03,3.4
08/15/03,0
08/16/03,0
08/17/03,0
08/18/03,9
08/19/03,0.6
08/20/03,0
08/21/03,0
08/22/03,0
08/23/03,0
08/24/03,10.8
08/25/03,7.6
08/26/03,0.2
08/27/03,0.8
08/28/03,0
08/29/03,0
08/30/03,2.6
08/31/03,0
09/01/03,4
09/02/03,0.2
09/03/03,0
09/04/03,0
09/05/03,0
09/06/03,0
09/07/03,0
09/08/03,0
09/09/03,0
09/10/03,0.2
09/11/03,0.8
09/12/03,0
09/13/03,0
09/14/03,3
09/15/03,0.4
09/16/03,2.8
09/17/03,0.8
09/18/03,1.6
09/19/03,0
09/20/03,0.4
09/21/03,0
09/22/03,0
09/23/03,0.6
09/24/03,3.4
09/25/03,0
09/26/03,0.2
09/27/03,5.6
09/28/03,3.4
09/29/03,0.6
09/30/03,1.2
10/01/03,0
10/02/03,8.6
10/03/03,2.4
10/04/03,0
10/05/03,0
10/06/03,0
10/07/03,0
10/08/03,0.2
10/09/03,0.6
10/10/03,0.8
10/11/03,2.2
10/12/03,0.4
10/13/03,0
10/14/03,0
10/15/03,0
10/16/03,7.4
10/17/03,0
10/18/03,0
10/19/03,1.8
10/20/03,10.6
10/21/03,0
10/22/03,17.2
10/23/03,0.6
10/24/03,5
10/25/03,0
10/26/03,3
10/27/03,0
10/28/03,0
10/29/03,7.2
10/30/03,0.4
10/31/03,2.4
11/01/03,1.6
11/02/03,5.2
11/03/03,2
11/04/03,0
11/05/03,0
11/06/03,0
11/07/03,0
11/08/03,0
11/09/03,0
11/10/03,0
11/11/03,0
11/12/03,0
11/13/03,0
11/14/03,0
11/15/03,0
11/16/03,0
11/17/03,0
11/18/03,0
11/19/03,0
11/20/03,1.2
11/21/03,4.4
11/22/03,0.2
11/23/03,4.4
11/24/03,0
11/25/03,0.2
11/26/03,0
11/27/03,0
11/28/03,0
11/29/03,0
11/30/03,0
12/01/03,1.6
12/02/03,0
12/03/03,37.8
12/04/03,0
12/05/03,1.4
12/06/03,0
12/07/03,0
12/08/03,0
12/09/03,0
12/10/03,0
12/11/03,0.2
12/12/03,0
12/13/03,1.8
12/14/03,0
12/15/03,0
12/16/03,0
12/17/03,0
12/18/03,0
12/19/03,14.2
12/20/03,0
12/21/03,2.4
12/22/03,6.4
12/23/03,5.4
12/24/03,0
12/25/03,0
12/26/03,0
12/27/03,0
12/28/03,0
12/29/03,0
12/30/03,0
12/31/03,0
01/01/04,0
01/02/04,0
01/03/04,0
01/04/04,0
01/05/04,8.4
01/06/04,0
01/07/04,0
01/08/04,3.2
01/09/04,0.2
01/10/04,0
01/11/04,0
01/12/04,0
01/13/04,0
01/14/04,0
01/15/04,0
01/16/04,0
01/17/04,1.2
01/18/04,0
01/19/04,0
01/20/04,0
01/21/04,0
01/22/04,0
01/23/04,0
01/24/04,0
01/25/04,0
01/26/04,0
01/27/04,0
01/28/04,0
01/29/04,2.6
01/30/04,45.4
01/31/04,2.2
02/01/04,0.2
02/02/04,1.2
02/03/04,0
02/04/04,0
02/05/04,0
02/06/04,0
02/07/04,0
02/08/04,0
02/09/04,0
02/10/04,0
02/11/04,4.2
02/12/04,3
02/13/04,0
02/14/04,0
02/15/04,4
02/16/04,0
02/17/04,0
02/18/04,0
02/19/04,0
02/20/04,0
02/21/04,0
02/22/04,0.4
02/23/04,0
02/24/04,0
02/25/04,0
02/26/04,0
02/27/04,0
02/28/04,0
02/29/04,0
03/01/04,0
03/02/04,0
03/03/04,0
03/04/04,0
03/05/04,0
03/06/04,0
03/07/04,0.4
03/08/04,0.8
03/09/04,4.6
03/10/04,0.2
03/11/04,0
03/12/04,0
03/13/04,0
03/14/04,0
03/15/04,0
03/16/04,0
03/17/04,0
03/18/04,0
03/19/04,0
03/20/04,0
03/21/04,0
03/22/04,0
03/23/04,0
03/24/04,0
03/25/04,0
03/26/04,0
03/27/04,0
03/28/04,0
03/29/04,6.8
03/30/04,1.6
03/31/04,0.4
04/01/04,0
04/02/04,0.2
04/03/04,0
04/04/04,0
04/05/04,0
04/06/04,0
04/07/04,0
04/08/04,0
04/09/04,0
04/10/04,0
04/11/04,0.4
04/12/04,0
04/13/04,0
04/14/04,0
04/15/04,0
04/16/04,0
04/17/04,0
04/18/04,3.6
04/19/04,0
04/20/04,0
04/21/04,0
04/22/04,0
04/23/04,21.8
04/24/04,22.8
04/25/04,0
04/26/04,0
04/27/04,3
04/28/04,0
04/29/04,0
04/30/04,0
05/01/04,4
05/02/04,3.8
05/03/04,0.2
05/04/04,0
05/05/04,2.2
05/06/04,0
05/07/04,0
05/08/04,0.2
05/09/04,0
05/10/04,0
05/11/04,0
05/12/04,0
05/13/04,0
05/14/04,0
05/15/04,0
05/16/04,0
05/17/04,0
05/18/04,2.6
05/19/04,2.4
05/20/04,0
05/21/04,1.4
05/22/04,0
05/23/04,0
05/24/04,0
05/25/04,0
05/26/04,1.2
05/27/04,8.8
05/28/04,1.8
05/29/04,0.6
05/30/04,0
05/31/04,0
06/01/04,0
