Month,Air RPM,Rail PM,VMT (billions),AirRPM2,AirRPM3
Aug-00,"66,924,512","558,060,051",247.77,66924.512,66.924512
Sep-00,"56,441,629","446,489,429",227.33,56441.629,56.441629
Oct-00,"58,834,210","462,329,685",236.55,58834.21,58.83421
Nov-00,"56,283,261","442,268,378",222.8,56283.261,56.283261
Dec-00,"55,380,280","461,651,082",218.44,55380.28,55.38028
1-Jan,"53,129,922","379,458,113",209.26,53129.922,53.129922
1-Feb,"49,992,995","366,288,212",199.91,49992.995,49.992995
1-Mar,"62,323,049","448,912,584",231.49,62323.049,62.323049
1-Apr,"59,801,562","455,496,342",231.37,59801.562,59.801562
1-May,"60,246,477","462,376,555",244.25,60246.477,60.246477
1-Jun,"64,987,625","528,690,495",242.58,64987.625,64.987625
1-Jul,"68,573,410","564,037,290",248.79,68573.41,68.57341
1-Aug,"69,003,617","562,266,005",251.69,69003.617,69.003617
1-Sep,"39,106,905","446,266,947",224.57,39106.905,39.106905
1-Oct,"44,271,037","452,095,235",240,44271.037,44.271037
1-Nov,"45,245,063","446,094,295",229.48,45245.063,45.245063
1-Dec,"48,167,518","479,188,434",228.09,48167.518,48.167518
2-Jan,"46,587,818","398,440,459",213.81,46587.818,46.587818
2-Feb,"45,157,533","397,948,828",206.46,45157.533,45.157533
2-Mar,"57,423,155","461,087,451",234.01,57423.155,57.423155
2-Apr,"53,013,066","453,147,413",234.81,53013.066,53.013066
2-May,"55,663,570","461,648,459",249.89,55663.57,55.66357
2-Jun,"60,224,150","499,751,748",246.39,60224.15,60.22415
2-Jul,"62,570,110","564,046,073",254.19,62570.11,62.57011
2-Aug,"62,881,793","516,103,068",256.24,62881.793,62.881793
2-Sep,"48,925,997","385,097,846",230.6,48925.997,48.925997
2-Oct,"52,779,975","399,248,774",243.29,52779.975,52.779975
2-Nov,"48,902,677","375,996,408",228.39,48902.677,48.902677
2-Dec,"55,355,434","448,246,102",231.26,55355.434,55.355434
3-Jan,"50,602,700","393,287,373",216.6,50602.7,50.6027
3-Feb,"46,455,943","390,041,481",201.9,46455.943,46.455943
3-Mar,"56,033,121","472,573,962",236.7,56033.121,56.033121
3-Apr,"51,146,721","483,653,074",238.1,51146.721,51.146721
3-May,"53,591,384","489,484,678",253.2,53591.384,53.591384
3-Jun,"59,426,357","531,138,943",252,59426.357,59.426357
3-Jul,"65,041,408","578,767,927",261.3,65041.408,65.041408
3-Aug,"64,095,456","557,897,322",259.6,64095.456,64.095456
3-Sep,"51,347,366","427,807,444",236,51347.366,51.347366
3-Oct,"55,810,667","463,025,617",253.4,55810.667,55.810667
3-Nov,"53,249,129","448,181,812",233.3,53249.129,53.249129
3-Dec,"57,795,908","489,403,554",237.6,57795.908,57.795908
4-Jan,"53,447,972","410,338,691",217.3,53447.972,53.447972
4-Feb,"52,608,801","389,778,365",210.4,52608.801,52.608801
4-Mar,"63,600,019","453,014,590",247.5,63600.019,63.600019
4-Apr,"61,887,720","471,116,666",245.4,61887.72,61.88772
